computers_accessories price,computers_accessories,telephony  price,telephony,electronics price,electronics,computers price,computers
"2120,39",1,,,,,,
76,1,,,,,,
"84,99",3,,,,,,
"99,89",2,,,,,,
"1079,99",2,,,,,,
945,1,,,,,,
589,4,,,,,,
"33,9",1,,,,,,
"217,34",1,,,,,,
78,4,,,,,,
"46,55",1,,,,,,
"66,9",5,,,,,,
"412,91",1,,,,,,
"465,38",1,,,,,,
392,1,,,,,,
"39,71",2,,,,,,
93,5,,,,,,
"79,43",3,,,,,,
"45,5",1,,,,,,
319,2,,,,,,
"269,99",3,,,,,,
"67,42",1,,,,,,
28,12,,,,,,
1350,2,,,,,,
"144,99",9,,,,,,
"799,6",1,,,,,,
"185,81",18,,,,,,
"158,9",7,,,,,,
"92,99",1,,,,,,
"37,99",4,,,,,,
"224,99",2,,,,,,
"185,1",3,,,,,,
"188,1",4,,,,,,
"309,9",1,,,,,,
"7,9",2,,,,,,
"60,99",3,,,,,,
"215,5",1,,,,,,
"269,9",1,,,,,,
"46,9",5,,,,,,
"47,8",1,,,,,,
"58,8",1,,,,,,
"195,99",1,,,,,,
"1005,63",1,,,,,,
77,6,,,,,,
"77,87",4,,,,,,
"268,99",3,,,,,,
135,47,,,,,,
"139,99",15,,,,,,
230,1,,,,,,
"62,99",1,,,,,,
138,1,,,,,,
"347,42",1,,,,,,
"32,9",9,,,,,,
"13,9",1,,,,,,
"39,58",3,,,,,,
"62,89",1,,,,,,
"279,9",1,,,,,,
"144,9",6,,,,,,
"137,9",48,,,,,,
"221,91",1,,,,,,
396,1,,,,,,
"413,91",1,,,,,,
"100,86",1,,,,,,
"62,4",1,,,,,,
92,1,,,,,,
177,12,,,,,,
"94,9",3,,,,,,
"395,34",1,,,,,,
"91,9",2,,,,,,
"6,5",1,,,,,,
"46,89",2,,,,,,
"187,5",1,,,,,,
"22,83",1,,,,,,
108,6,,,,,,
"119,2",2,,,,,,
"39,89",1,,,,,,
"2499,75",1,,,,,,
"550,99",2,,,,,,
"135,9",1,,,,,,
"135,91",3,,,,,,
"115,52",3,,,,,,
329,1,,,,,,
43,1,,,,,,
"323,18",3,,,,,,
"179,89",1,,,,,,
"57,99",4,,,,,,
"58,99",2,,,,,,
"71,9",4,,,,,,
"234,31",1,,,,,,
"977,98",1,,,,,,
"394,9",1,,,,,,
"214,5",1,,,,,,
"48,6",1,,,,,,
795,1,,,,,,
"151,9",1,,,,,,
316,1,,,,,,
238,1,,,,,,
"999,9",1,,,,,,
297,2,,,,,,
"67,91",10,,,,,,
"67,06",1,,,,,,
"207,91",2,,,,,,
"5,2",3,,,,,,
"2649,99",2,,,,,,
"110,99",1,,,,,,
"629,99",1,,,,,,
298,1,,,,,,
"71,4",1,,,,,,
"25,52",4,,,,,,
"94,99",5,,,,,,
955,1,,,,,,
838,1,,,,,,
878,1,,,,,,
"276,99",1,,,,,,
"225,91",4,,,,,,
"558,5",1,,,,,,
"89,7",1,,,,,,
"1140,9",2,,,,,,
"32,99",7,,,,,,
"69,12",3,,,,,,
"182,9",2,,,,,,
"139,5",3,,,,,,
"162,5",1,,,,,,
"152,5",1,,,,,,
"135,48",1,,,,,,
